contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL250620C00222500,2025-06-17 19:26:04+00:00,222.5,0.01,0.01,0.02,-0.01,-50.0,221,2668,0.48828636718750007,False,REGULAR,USD
AAPL250620C00225000,2025-06-17 19:47:16+00:00,225.0,0.01,0.0,0.01,0.0,0.0,913,25565,0.48438015625,False,REGULAR,USD
AAPL250620C00227500,2025-06-16 19:48:41+00:00,227.5,0.01,0.0,0.01,0.0,0.0,24,5391,0.523442265625,False,REGULAR,USD
AAPL250620C00230000,2025-06-17 19:47:54+00:00,230.0,0.01,0.0,0.01,-0.01,-50.0,769,31660,0.51562984375,False,REGULAR,USD
AAPL250620C00232500,2025-06-17 13:56:31+00:00,232.5,0.01,0.0,0.01,0.0,0.0,9,3140,0.5468795312500001,False,REGULAR,USD
AAPL250620C00235000,2025-06-17 19:48:03+00:00,235.0,0.01,0.0,0.01,0.0,0.0,51,28698,0.57812921875,False,REGULAR,USD
AAPL250620C00240000,2025-06-17 19:29:50+00:00,240.0,0.01,0.0,0.01,0.0,0.0,424,57091,0.64062859375,False,REGULAR,USD
AAPL250620C00245000,2025-06-17 19:37:26+00:00,245.0,0.01,0.0,0.01,0.0,0.0,33,23463,0.70312796875,False,REGULAR,USD
AAPL250620C00250000,2025-06-17 18:45:58+00:00,250.0,0.01,0.0,0.01,0.0,0.0,16,29750,0.7500025,False,REGULAR,USD
AAPL250620C00255000,2025-06-17 17:33:08+00:00,255.0,0.01,0.0,0.01,0.0,0.0,18,7648,0.8125018749999999,False,REGULAR,USD
AAPL250620C00260000,2025-06-17 18:43:08+00:00,260.0,0.01,0.0,0.01,0.0,0.0,56,26744,0.87500125,False,REGULAR,USD
AAPL250620C00265000,2025-06-17 17:32:50+00:00,265.0,0.01,0.0,0.01,0.0,0.0,8,11484,0.9062509375,False,REGULAR,USD
AAPL250620C00270000,2025-06-17 16:42:40+00:00,270.0,0.01,0.0,0.01,0.0,0.0,3,15772,0.9687503125,False,REGULAR,USD
AAPL250620C00275000,2025-06-16 18:16:19+00:00,275.0,0.01,0.0,0.01,0.0,0.0,2,8678,1.0312548437500002,False,REGULAR,USD
AAPL250620C00280000,2025-06-16 19:11:53+00:00,280.0,0.01,0.0,0.01,0.0,0.0,446,13668,1.0625046875000002,False,REGULAR,USD
AAPL250620C00285000,2025-06-13 17:55:50+00:00,285.0,0.01,0.0,0.01,0.0,0.0,1,4803,1.125004375,False,REGULAR,USD
AAPL250620C00290000,2025-06-16 15:06:13+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1,6867,1.15625421875,False,REGULAR,USD
AAPL250620C00295000,2025-06-13 14:23:50+00:00,295.0,0.01,0.0,0.01,0.0,0.0,23,2957,1.21875390625,False,REGULAR,USD
AAPL250620C00300000,2025-06-17 19:04:56+00:00,300.0,0.01,0.0,0.01,0.0,0.0,16,28359,1.2500037499999999,False,REGULAR,USD
AAPL250620C00305000,2025-06-17 13:30:04+00:00,305.0,0.01,0.0,0.01,-0.01,-50.0,1,2,1.3125034374999998,False,REGULAR,USD
AAPL250620C00310000,2025-06-12 16:15:24+00:00,310.0,0.01,0.0,0.01,0.0,0.0,10,8149,1.3437532812499997,False,REGULAR,USD
AAPL250620C00320000,2025-06-16 18:20:54+00:00,320.0,0.01,0.0,0.01,0.0,0.0,2,7178,1.4375028125,False,REGULAR,USD
AAPL250620C00330000,2025-06-05 17:48:54+00:00,330.0,0.01,0.0,0.01,0.0,0.0,6,2731,1.5000025,False,REGULAR,USD
AAPL250620C00340000,2025-05-23 16:47:17+00:00,340.0,0.01,0.0,0.01,0.0,0.0,1,2357,1.5937520312499998,False,REGULAR,USD
AAPL250620C00350000,2025-06-09 15:32:45+00:00,350.0,0.01,0.0,0.01,0.0,0.0,1,8582,1.65625171875,False,REGULAR,USD
AAPL250620C00360000,2025-06-17 13:30:01+00:00,360.0,0.01,0.0,0.01,0.0,0.0,1,7274,1.75000125,False,REGULAR,USD
